1,16191120.9987
1.5,1563857.01784
2,761556.149224
2.5,688404.520585
3,782555.823832
3.5,969063.703889
4,1228354.41241
4.5,1548971.16791
5,1923119.35786
5.5,2350026.7154
6,2837581.33389
6.5,3401681.79697
7,4066067.74824
7.5,4864428.25893
8,5844939.55894
8.5,7075791.75955
9,8645568.22316
9.5,10634991.3843
10,493697.435293
15,149282.557787
20,48017.3358936
25,21425.8665303
30,13086.0463324
35,9120.28178174
40,6821.8956639
45,5334.60106839
50,4297.29235403
55,3531.36908251
60,2941.25402955
65,2473.34357684
70,2095.92747715
75,1788.73479926
80,1537.54145005
85,1331.53819215
90,1162.10738586
95,1022.25491954
100,906.292286593
150,386.099942812
200,239.626129392
250,175.325767912
300,139.341427029
350,116.186600517
400,99.9293181526
450,87.8264121051
500,78.4325528609
550,70.9109841809
600,64.7416862556
650,59.5834755636
700,55.2024561239
750,51.4326071689
800,48.1526304555
850,45.2716272785
900,42.7201415739
950,40.4441148633
1000,38.4007932807
