1,0.981786380238
1.5,3.30971452635
2,7.84097816892
2.5,15.308803548
3,26.4345314143
3.5,41.9236677019
4,62.4879173103
4.5,88.8804637692
5,121.919667547
5.5,162.492862686
6,211.546586448
6.5,270.07289372
7,339.098856579
7.5,419.68308378
8,512.920845218
8.5,619.958018118
9,742.013075948
9.5,880.405448091
10,1036.58780072
15,4043.55350887
20,11893.4749048
25,27734.2104314
30,52615.9881146
35,85307.1645134
40,123538.277257
45,165060.780034
50,208137.374793
55,251633.609361
60,294923.327423
65,337739.918039
70,380036.104008
75,421875.075061
80,463356.218871
85,504570.471224
90,545577.839928
95,586399.900296
100,627021.381176
150,1006619.39999
200,1298683.91486
250,1500652.03964
300,1637777.98486
350,1732377.45041
400,1799350.34684
450,1848063.6421
500,1884401.39989
550,1912128.79296
600,1933714.5176
650,1950818.52723
700,1964584.23845
750,1975817.08821
800,1985096.16435
850,1992845.63166
900,1999381.46673
950,2004942.68758
1000,2009712.63527
