% Model,no_longer_minion.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 24 2017, 10:40"
% Table,Probes {tbl3} - 
% sensor_w,heater_w,l,"Dependent variable U (1), Effect Ratio {avh1}","Dependent variable T (1), Normal_Temp {avh2}"
1.0E-7,1.0E-7,1.0E-7,0.08497515693123123,0.5827452104496283
1.0E-7,1.0E-7,1.5E-7,0.033705819467270144,0.5827452104496029
1.0E-7,1.0E-7,2.0E-7,0.012209966536262211,0.582745210449649
1.0E-7,1.0E-7,2.5E-7,0.0013570754898301856,0.5827452104496688
1.0E-7,1.0E-7,3.0E-7,-0.004857718352743881,0.5827452104496692
1.0E-7,1.0E-7,3.5E-7,-0.008745266859184588,0.5827452104496442
1.0E-7,1.0E-7,4.0E-7,-0.01133985915364352,0.5827452104495953
1.0E-7,1.25E-7,1.0E-7,0.13642646817513004,0.6239108776579961
1.0E-7,1.25E-7,1.5E-7,0.05891078616268513,0.6239108776579132
1.0E-7,1.25E-7,2.0E-7,0.023641591101838538,0.6239108776578846
1.0E-7,1.25E-7,2.5E-7,0.0051564514556031215,0.6239108776579542
1.0E-7,1.25E-7,3.0E-7,-0.005641437594672386,0.6239108776579145
1.0E-7,1.25E-7,3.5E-7,-0.012475905147401298,0.6239108776578928
1.0E-7,1.25E-7,4.0E-7,-0.017071836073960307,0.6239108776579604
1.0E-7,1.5E-7,1.0E-7,0.19166528347298842,0.655843995291397
1.0E-7,1.5E-7,1.5E-7,0.08980993549549127,0.6558439952914058
1.0E-7,1.5E-7,2.0E-7,0.03922233317566185,0.6558439952914403
1.0E-7,1.5E-7,2.5E-7,0.011538655839579732,0.6558439952914166
1.0E-7,1.5E-7,3.0E-7,-0.0050219794169677374,0.6558439952914153
1.0E-7,1.5E-7,3.5E-7,-0.015655852063097747,0.6558439952914216
1.0E-7,1.5E-7,4.0E-7,-0.022873776059905322,0.655843995291379
1.0E-7,1.75E-7,1.0E-7,0.2463719309641799,0.6815099367450752
1.0E-7,1.75E-7,1.5E-7,0.12456870971612423,0.6815099367451088
1.0E-7,1.75E-7,2.0E-7,0.05851791402128699,0.6815099367450337
1.0E-7,1.75E-7,2.5E-7,0.02064115761919428,0.6815099367449239
1.0E-7,1.75E-7,3.0E-7,-0.0026332526368904375,0.6815099367450689
1.0E-7,1.75E-7,3.5E-7,-0.01782817610372366,0.6815099367450468
1.0E-7,1.75E-7,4.0E-7,-0.02825517363093211,0.6815099367449508
1.0E-7,2.0E-7,1.0E-7,0.2978859626412201,0.7026905427483315
1.0E-7,2.0E-7,1.5E-7,0.16137157958829493,0.7026905427484579
1.0E-7,2.0E-7,2.0E-7,0.08083943719100478,0.7026905427483773
1.0E-7,2.0E-7,2.5E-7,0.032369417272505176,0.7026905427484627
1.0E-7,2.0E-7,3.0E-7,0.0017111939374768457,0.7026905427484017
1.0E-7,2.0E-7,3.5E-7,-0.018674859468113553,0.7026905427484195
1.0E-7,2.0E-7,4.0E-7,-0.03283663793235253,0.7026905427483849
1.0E-7,2.25E-7,1.0E-7,0.3449229702112502,0.7205303769773113
1.0E-7,2.25E-7,1.5E-7,0.19868224227063888,0.720530376977249
1.0E-7,2.25E-7,2.0E-7,0.105392169480065,0.720530376977269
1.0E-7,2.25E-7,2.5E-7,0.046463264199985796,0.7205303769772821
1.0E-7,2.25E-7,3.0E-7,0.008047653552600037,0.7205303769772904
1.0E-7,2.25E-7,3.5E-7,-0.018003232702921795,0.7205303769773045
1.0E-7,2.25E-7,4.0E-7,-0.03634347524335938,0.7205303769772851
1.0E-7,2.5E-7,1.0E-7,0.3871250880240655,0.735802212699537
1.0E-7,2.5E-7,1.5E-7,0.2353542196626816,0.7358022126995776
1.0E-7,2.5E-7,2.0E-7,0.1313958694210062,0.7358022126995775
1.0E-7,2.5E-7,2.5E-7,0.0625644269335554,0.7358022126995273
1.0E-7,2.5E-7,3.0E-7,0.01629650516386343,0.7358022126995748
1.0E-7,2.5E-7,3.5E-7,-0.015729063230310942,0.7358022126996066
1.0E-7,2.5E-7,4.0E-7,-0.03859774693703468,0.7358022126996563
1.0E-7,2.75E-7,1.0E-7,0.4246461740307525,0.7490500757863096
1.0E-7,2.75E-7,1.5E-7,0.2706120128461078,0.7490500757861942
1.0E-7,2.75E-7,2.0E-7,0.1581526414941289,0.749050075786217
1.0E-7,2.75E-7,2.5E-7,0.08027092806669306,0.7490500757861855
1.0E-7,2.75E-7,3.0E-7,0.026297626030451778,0.7490500757861793
1.0E-7,2.75E-7,3.5E-7,-0.011852974397795908,0.7490500757862564
1.0E-7,2.75E-7,4.0E-7,-0.039501159937956644,0.7490500757862643
1.0E-7,3.0E-7,1.0E-7,0.4578826149241738,0.7606698169380842
1.0E-7,3.0E-7,1.5E-7,0.3039877165064652,0.7606698169380408
1.0E-7,3.0E-7,2.0E-7,0.18508110500120634,0.7606698169380898
1.0E-7,3.0E-7,2.5E-7,0.09917816177717419,0.7606698169380616
1.0E-7,3.0E-7,3.0E-7,0.03784057825463403,0.7606698169380045
1.0E-7,3.0E-7,3.5E-7,-0.006439789534481868,0.760669816938037
1.0E-7,3.0E-7,4.0E-7,-0.03902052160899542,0.7606698169380269
1.0E-7,3.2499999999999996E-7,1.0E-7,0.48731618973606583,0.7709569597106767
1.0E-7,3.2499999999999996E-7,1.5E-7,0.33524478148710707,0.7709569597107135
1.0E-7,3.2499999999999996E-7,2.0E-7,0.21172472215660068,0.7709569597107944
1.0E-7,3.2499999999999996E-7,2.5E-7,0.11890681322815544,0.7709569597106812
1.0E-7,3.2499999999999996E-7,3.0E-7,0.05068965973366359,0.7709569597107597
1.0E-7,3.2499999999999996E-7,3.5E-7,4.004588050762262E-4,0.7709569597107213
1.0E-7,3.2499999999999996E-7,4.0E-7,-0.03717350824803385,0.770956959710654
1.0E-7,3.5E-7,1.0E-7,0.5134302383462287,0.7801377772878602
1.0E-7,3.5E-7,1.5E-7,0.36430796119841585,0.7801377772878992
1.0E-7,3.5E-7,2.0E-7,0.23774411460139344,0.7801377772878508
1.0E-7,3.5E-7,2.5E-7,0.1391193185125964,0.7801377772879192
1.0E-7,3.5E-7,3.0E-7,0.06460307204706692,0.7801377772878553
1.0E-7,3.5E-7,3.5E-7,0.008528578160769315,0.7801377772879139
1.0E-7,3.5E-7,4.0E-7,-0.034016116181106844,0.7801377772878457
1.0E-7,3.75E-7,1.0E-7,0.5366733688345834,0.7883883088793291
1.0E-7,3.75E-7,1.5E-7,0.39120915606516987,0.7883883088792829
1.0E-7,3.75E-7,2.0E-7,0.2629023765410816,0.7883883088793436
1.0E-7,3.75E-7,2.5E-7,0.15952792837470164,0.7883883088792203
1.0E-7,3.75E-7,3.0E-7,0.07934668381394773,0.7883883088793819
1.0E-7,3.75E-7,3.5E-7,0.017789046893127443,0.7883883088793322
1.0E-7,3.75E-7,4.0E-7,-0.029632233168422933,0.7883883088793455
1.0E-7,4.0E-7,1.0E-7,0.5574422064361211,0.7958479236832859
1.0E-7,4.0E-7,1.5E-7,0.41604406294067786,0.7958479236832009
1.0E-7,4.0E-7,2.0E-7,0.28704543761623963,0.7958479236831257
1.0E-7,4.0E-7,2.5E-7,0.17989559778414654,0.7958479236832322
1.0E-7,4.0E-7,3.0E-7,0.0947031351260161,0.7958479236831781
1.0E-7,4.0E-7,3.5E-7,0.028020687555231842,0.7958479236832973
1.0E-7,4.0E-7,4.0E-7,-0.02412372136371834,0.7958479236831293
1.0E-7,4.2499999999999995E-7,1.0E-7,0.5760756921902256,0.8026292390604783
1.0E-7,4.2499999999999995E-7,1.5E-7,0.4389396385907253,0.802629239060444
1.0E-7,4.2499999999999995E-7,2.0E-7,0.31008095477717074,0.8026292390604088
1.0E-7,4.2499999999999995E-7,2.5E-7,0.20003128260625505,0.8026292390605166
1.0E-7,4.2499999999999995E-7,3.0E-7,0.11047623524733821,0.8026292390603564
1.0E-7,4.2499999999999995E-7,3.5E-7,0.03906458441138382,0.8026292390603466
1.0E-7,4.2499999999999995E-7,4.0E-7,-0.017601555007933336,0.8026292390604326
1.0E-7,4.5E-7,1.0E-7,0.5928652308508678,0.808823642442765
1.0E-7,4.5E-7,1.5E-7,0.4600412419672798,0.8088236424427669
1.0E-7,4.5E-7,2.0E-7,0.3319673197750689,0.8088236424428321
1.0E-7,4.5E-7,2.5E-7,0.2197880149157061,0.8088236424427381
1.0E-7,4.5E-7,3.0E-7,0.12649433034355304,0.8088236424427696
1.0E-7,4.5E-7,3.5E-7,0.05076869559622691,0.8088236424427684
1.0E-7,4.5E-7,4.0E-7,-0.010182009309062188,0.8088236424427725
1.0E-7,4.75E-7,1.0E-7,0.608059517102455,0.814506146152964
1.0E-7,4.75E-7,1.5E-7,0.4794990914029644,0.814506146152926
1.0E-7,4.75E-7,2.0E-7,0.35269932533276244,0.8145061461529983
1.0E-7,4.75E-7,2.5E-7,0.23905630677159911,0.8145061461530055
1.0E-7,4.75E-7,3.0E-7,0.1426102303446128,0.8145061461528679
1.0E-7,4.75E-7,3.5E-7,0.06299117506712207,0.8145061461529403
1.0E-7,4.75E-7,4.0E-7,-0.0019820895314868877,0.8145061461529367
1.0E-7,5.0E-7,1.0E-7,0.621866054805414,0.8197395749775567
1.0E-7,5.0E-7,1.5E-7,0.49745707639193404,0.8197395749775528
1.0E-7,5.0E-7,2.0E-7,0.372295117066458,0.8197395749775631
1.0E-7,5.0E-7,2.5E-7,0.25775702262761147,0.8197395749774952
1.0E-7,5.0E-7,3.0E-7,0.15870039729719607,0.8197395749775891
1.0E-7,5.0E-7,3.5E-7,0.07560376986061147,0.8197395749776105
1.0E-7,5.0E-7,4.0E-7,0.006886197334131305,0.8197395749775326
1.5E-7,1.0E-7,1.0E-7,0.08401839074457348,0.5691231200355865
1.5E-7,1.0E-7,1.5E-7,0.034961282528559165,0.5691231200355588
1.5E-7,1.0E-7,2.0E-7,0.014464680709077048,0.5691231200355427
1.5E-7,1.0E-7,2.5E-7,0.004133629392943306,0.5691231200355037
1.5E-7,1.0E-7,3.0E-7,-0.0017774397867326415,0.5691231200354689
1.5E-7,1.0E-7,3.5E-7,-0.005473533216130824,0.5691231200354918
1.5E-7,1.0E-7,4.0E-7,-0.007939936917705424,0.5691231200355045
1.5E-7,1.25E-7,1.0E-7,0.13475520888188072,0.6101964295831463
1.5E-7,1.25E-7,1.5E-7,0.06053739997164913,0.6101964295831458
1.5E-7,1.25E-7,2.0E-7,0.026910846740673837,0.6101964295830618
1.5E-7,1.25E-7,2.5E-7,0.00932345051660167,0.6101964295830202
1.5E-7,1.25E-7,3.0E-7,-9.389150526982054E-4,0.6101964295830847
1.5E-7,1.25E-7,3.5E-7,-0.00743076816499226,0.6101964295831074
1.5E-7,1.25E-7,4.0E-7,-0.01179508156502969,0.6101964295831094
1.5E-7,1.5E-7,1.0E-7,0.18918529336197748,0.6421751141557165
1.5E-7,1.5E-7,1.5E-7,0.09164479940392613,0.6421751141556468
1.5E-7,1.5E-7,2.0E-7,0.04343961510445006,0.6421751141556584
1.5E-7,1.5E-7,2.5E-7,0.01712678649024722,0.6421751141556761
1.5E-7,1.5E-7,3.0E-7,0.001407684274064526,0.6421751141555918
1.5E-7,1.5E-7,3.5E-7,-0.00867831028481735,0.6421751141556825
1.5E-7,1.5E-7,4.0E-7,-0.015521620686199663,0.64217511415561
1.5E-7,1.75E-7,1.0E-7,0.24313213019069405,0.6679503152835932
1.5E-7,1.75E-7,1.5E-7,0.1264688272032361,0.6679503152836263
1.5E-7,1.75E-7,2.0E-7,0.06355724533782191,0.6679503152836552
1.5E-7,1.75E-7,2.5E-7,0.027588685298941203,0.6679503152836443
1.5E-7,1.75E-7,3.0E-7,0.005523740068490707,0.6679503152836357
1.5E-7,1.75E-7,3.5E-7,-0.008867822822458366,0.6679503152836762
1.5E-7,1.75E-7,4.0E-7,-0.018738145957237072,0.6679503152836571
1.5E-7,2.0E-7,1.0E-7,0.29396250776175276,0.6892774630275483
1.5E-7,2.0E-7,1.5E-7,0.16320476615145674,0.6892774630275145
1.5E-7,2.0E-7,2.0E-7,0.08653679430468818,0.6892774630276065
1.5E-7,2.0E-7,2.5E-7,0.04055013767117157,0.6892774630275078
1.5E-7,2.0E-7,3.0E-7,0.011520262592016068,0.6892774630275161
1.5E-7,2.0E-7,3.5E-7,-0.007760324708726471,0.689277463027533
