% Model,no_longer_minion.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 27 2017, 14:52"
% Table,Probes 1 {tbl1} - 
% l,si_k,TBath,heater_w,sensor_w,"Dependent variable U (1), Effect Ratio {pev1}","Dependent variable T (1), Normal_Temp {pev2}"
3.4300000000000004E-7,386,150,3.2499999999999996E-7,1.0E-7,0.006578293704282504,0.7709569597113172
3.4300000000000004E-7,386,150,3.2499999999999996E-7,1.5E-7,0.02493901211568501,0.7584371643750751
3.4300000000000004E-7,386,150,3.2499999999999996E-7,2.0E-7,0.03762430426948868,0.7469994157151214
3.4300000000000004E-7,386,150,3.2499999999999996E-7,2.5E-7,0.046569047581724546,0.7364099742457139
3.4300000000000004E-7,386,150,3.2499999999999996E-7,3.0E-7,0.05298757289359169,0.726505030032203
3.4300000000000004E-7,386,150,3.5E-7,1.0E-7,0.01546894086159349,0.7801377772882899
3.4300000000000004E-7,386,150,3.5E-7,1.5E-7,0.034839229446596474,0.7677976368934191
3.4300000000000004E-7,386,150,3.5E-7,2.0E-7,0.04822832701725164,0.7565012343495986
3.4300000000000004E-7,386,150,3.5E-7,2.5E-7,0.057663889666818895,0.7460249231553117
3.4300000000000004E-7,386,150,3.5E-7,3.0E-7,0.06442352344874536,0.7362116812299637
3.4300000000000004E-7,386,150,3.75E-7,1.0E-7,0.025464747400582657,0.7883883088798473
3.4300000000000004E-7,386,150,3.75E-7,1.5E-7,0.045680438072096735,0.776224005096725
3.4300000000000004E-7,386,150,3.75E-7,2.0E-7,0.05965663920592873,0.76506742403591
3.4300000000000004E-7,386,150,3.75E-7,2.5E-7,0.06949775752904025,0.7547042484818701
3.4300000000000004E-7,386,150,3.75E-7,3.0E-7,0.0765345108117295,0.744983707023241
3.4300000000000004E-7,386,150,4.0E-7,1.0E-7,0.036395970950741714,0.795847923683393
3.4300000000000004E-7,386,150,4.0E-7,1.5E-7,0.05730424596649267,0.783855153554417
3.4300000000000004E-7,386,150,4.0E-7,2.0E-7,0.07175857022667662,0.7728361046103813
3.4300000000000004E-7,386,150,4.0E-7,2.5E-7,0.08192546694745097,0.7625852165224167
3.4300000000000004E-7,386,150,4.0E-7,3.0E-7,0.0891798314844719,0.7529574839415772
3.4300000000000004E-7,386,150,4.2499999999999995E-7,1.0E-7,0.04809742285425431,0.8026292390606681
3.4300000000000004E-7,386,150,4.2499999999999995E-7,1.5E-7,0.0695578328922211,0.7908031636378833
3.4300000000000004E-7,386,150,4.2499999999999995E-7,2.0E-7,0.08439445675254399,0.7799175676108041
3.4300000000000004E-7,386,150,4.2499999999999995E-7,2.5E-7,0.09480929847384087,0.7697788381792066
3.4300000000000004E-7,386,150,4.2499999999999995E-7,3.0E-7,0.10222644209779175,0.7602434075356388
3.4300000000000004E-7,386,150,4.5E-7,1.0E-7,0.060412871724245705,0.8088236424428623
3.4300000000000004E-7,386,150,4.5E-7,1.5E-7,0.08229840138071684,0.7971593556251317
3.4300000000000004E-7,386,150,4.5E-7,2.0E-7,0.09741759519271291,0.7864066843210886
3.4300000000000004E-7,386,150,4.5E-7,2.5E-7,0.10802310548054354,0.7763755763828343
3.4300000000000004E-7,386,150,4.5E-7,3.0E-7,0.11555353219477386,0.7669314841755019
3.4300000000000004E-7,386,150,4.75E-7,1.0E-7,0.07319808310824069,0.8145061461530726
3.4300000000000004E-7,386,150,4.75E-7,1.5E-7,0.0953963142745886,0.8029985050230602
3.4300000000000004E-7,386,150,4.75E-7,2.0E-7,0.11072155166305547,0.792374124856927
3.4300000000000004E-7,386,150,4.75E-7,2.5E-7,0.12145402755427917,0.7824498194760066
3.4300000000000004E-7,386,150,4.75E-7,3.0E-7,0.12905370155222037,0.7730957745137338
3.4300000000000004E-7,386,150,5.0E-7,1.0E-7,0.08632384387151658,0.8197395749777621
3.4300000000000004E-7,386,150,5.0E-7,1.5E-7,0.10873472182200433,0.8083835140729939
