sensor_w	heater_w	l	hydro	fourier
1.5000E-7	3.0000E-7	1.5000E-7	0.30481	0.74797
1.5000E-7	3.0000E-7	2.0000E-7	0.19183	0.74797
1.5000E-7	3.0000E-7	2.5000E-7	0.11058	0.74797
1.5000E-7	3.0000E-7	3.0000E-7	0.052735	0.74797
1.5000E-7	3.0000E-7	3.5000E-7	0.011064	0.74797
1.5000E-7	3.0000E-7	4.0000E-7	-0.019554	0.74797
1.5000E-7	3.5000E-7	1.0000E-7	0.50710	0.76780
1.5000E-7	3.5000E-7	1.5000E-7	0.36448	0.76780
1.5000E-7	3.5000E-7	2.0000E-7	0.24433	0.76780
1.5000E-7	3.5000E-7	2.5000E-7	0.15116	0.76780
1.5000E-7	3.5000E-7	3.0000E-7	0.081001	0.76780
1.5000E-7	3.5000E-7	3.5000E-7	0.028329	0.76780
1.5000E-7	3.5000E-7	4.0000E-7	-0.011566	0.76780
1.5000E-7	4.0000E-7	1.0000E-7	0.55074	0.78386
1.5000E-7	4.0000E-7	1.5000E-7	0.41560	0.78386
1.5000E-7	4.0000E-7	2.0000E-7	0.29324	0.78386
1.5000E-7	4.0000E-7	2.5000E-7	0.19211	0.78386
1.5000E-7	4.0000E-7	3.0000E-7	0.11200	0.78386
1.5000E-7	4.0000E-7	3.5000E-7	0.049460	0.78386
1.5000E-7	4.0000E-7	4.0000E-7	6.4800E-4	0.78386
1.5000E-7	4.5000E-7	1.0000E-7	0.58591	0.79716
1.5000E-7	4.5000E-7	1.5000E-7	0.45903	0.79716
1.5000E-7	4.5000E-7	2.0000E-7	0.33764	0.79716
1.5000E-7	4.5000E-7	2.5000E-7	0.23186	0.79716
1.5000E-7	4.5000E-7	3.0000E-7	0.14422	0.79716
1.5000E-7	4.5000E-7	3.5000E-7	0.073277	0.79716
1.5000E-7	4.5000E-7	4.0000E-7	0.016301	0.79716
1.5000E-7	5.0000E-7	1.0000E-7	0.61474	0.80838
1.5000E-7	5.0000E-7	1.5000E-7	0.49595	0.80838
1.5000E-7	5.0000E-7	2.0000E-7	0.37739	0.80838
1.5000E-7	5.0000E-7	2.5000E-7	0.26946	0.80838
1.5000E-7	5.0000E-7	3.0000E-7	0.17649	0.80838
1.5000E-7	5.0000E-7	3.5000E-7	0.098717	0.80838
1.5000E-7	5.0000E-7	4.0000E-7	0.034550	0.80838
2.0000E-7	1.0000E-7	1.0000E-7	0.082671	0.55702
2.0000E-7	1.0000E-7	1.5000E-7	0.035467	0.55702
2.0000E-7	1.0000E-7	2.0000E-7	0.015810	0.55702
2.0000E-7	1.0000E-7	2.5000E-7	0.0059178	0.55702
2.0000E-7	1.0000E-7	3.0000E-7	2.6302E-4	0.55702
2.0000E-7	1.0000E-7	3.5000E-7	-0.0032713	0.55702
2.0000E-7	1.0000E-7	4.0000E-7	-0.0056292	0.55702
2.0000E-7	1.5000E-7	1.0000E-7	0.18613	0.62993
2.0000E-7	1.5000E-7	1.5000E-7	0.092143	0.62993
2.0000E-7	1.5000E-7	2.0000E-7	0.045906	0.62993
2.0000E-7	1.5000E-7	2.5000E-7	0.020728	0.62993
2.0000E-7	1.5000E-7	3.0000E-7	0.0057073	0.62993
2.0000E-7	1.5000E-7	3.5000E-7	-0.0039235	0.62993
2.0000E-7	1.5000E-7	4.0000E-7	-0.010455	0.62993
2.0000E-7	2.0000E-7	1.0000E-7	0.28940	0.67718
2.0000E-7	2.0000E-7	1.5000E-7	0.16330	0.67718
2.0000E-7	2.0000E-7	2.0000E-7	0.089773	0.67718
2.0000E-7	2.0000E-7	2.5000E-7	0.045812	0.67718
2.0000E-7	2.0000E-7	3.0000E-7	0.018112	0.67718
2.0000E-7	2.0000E-7	3.5000E-7	-2.6374E-4	0.67718
2.0000E-7	2.0000E-7	4.0000E-7	-0.013011	0.67718
2.0000E-7	2.5000E-7	1.0000E-7	0.37646	0.71088
2.0000E-7	2.5000E-7	1.5000E-7	0.23626	0.71088
2.0000E-7	2.5000E-7	2.0000E-7	0.14146	0.71088
2.0000E-7	2.5000E-7	2.5000E-7	0.079194	0.71088
2.0000E-7	2.5000E-7	3.0000E-7	0.037544	0.71088
2.0000E-7	2.5000E-7	3.5000E-7	0.0088061	0.71088
2.0000E-7	2.5000E-7	4.0000E-7	-0.011674	0.71088
